ID;PART_OF;CREATED;LOCATION_TYPE;NAMESPACE;NAME
d5e3ee1c-c6b8-4154-a22c-702a257399e4;;2023-01-18T00:00:00.000;VIRTUAL;DEFAULT;Virtual
0c4c2ad4-00cc-4636-ab7c-3354d2ba56ef;d5e3ee1c-c6b8-4154-a22c-702a257399e4;2023-01-18T00:00:00.000;VIRTUAL;DEFAULT;Eingang
fa56db2c-4eae-4e55-bd5b-5280eecffb6d;d5e3ee1c-c6b8-4154-a22c-702a257399e4;2023-01-18T00:00:00.000;VIRTUAL;DEFAULT;Reparatur
7e58f735-dcbe-4160-85c5-9ca78dba68b1;d5e3ee1c-c6b8-4154-a22c-702a257399e4;2023-01-18T00:00:00.000;VIRTUAL;DEFAULT;Ausgang
d01ece91-dd82-4dec-845d-0d7721bbca0a;;2024-05-05T00:00:00.000;CAMPUS;DEFAULT;Bensheim
681267b3-3bc1-4273-8445-7717688c81aa;d01ece91-dd82-4dec-845d-0d7721bbca0a;2024-05-05T00:00:00.000;BUILDING;DEFAULT;D12
27291401-ce81-4efa-9212-3ed2f3d42c44;681267b3-3bc1-4273-8445-7717688c81aa;2024-05-05T00:00:00.000;ROOM;DEFAULT;Studio
c3b31677-5806-4549-bfc9-c9b00681ab7d;27291401-ce81-4efa-9212-3ed2f3d42c44;2024-05-05T00:00:00.000;SHELF;DEFAULT;Backdrop
9d0d9363-602c-4799-97db-08765388f2d6;27291401-ce81-4efa-9212-3ed2f3d42c44;2024-05-05T00:00:00.000;SHELF;DEFAULT;Material
5c3634d2-b575-4a9c-8fc4-4ef9e981d321;27291401-ce81-4efa-9212-3ed2f3d42c44;2024-05-05T00:00:00.000;SHELF;DEFAULT;Technik
e1da3feb-daa5-4d3b-84e3-1faad189226c;681267b3-3bc1-4273-8445-7717688c81aa;2024-05-05T00:00:00.000;ROOM;DEFAULT;Bibliothek
5b698303-4831-40a1-ba12-d6de7b833e27;e1da3feb-daa5-4d3b-84e3-1faad189226c;2024-05-05T00:00:00.000;SHELF;DEFAULT;Bücher
2564b4e7-fccb-41cd-8b8e-01f531482be3;e1da3feb-daa5-4d3b-84e3-1faad189226c;2024-05-05T00:00:00.000;SHELF;DEFAULT;Lego
